# topicId<TAB>поисковая фраза для Вордстата
# Фразы подобраны вручную 2026-09-13 под реальный интент темы (заголовки в
# бэклоге — блог-формулировки, не то, что вбивают в поиск). Бренды продуктов
# (Гочи, Narra, Memento, Короче, Disrupt Radar, Айва) намеренно не включены —
# по ним пока нет спроса, а нас интересует спрос на саму идею/сценарий.
aiwa-1	подсчет калорий по фото
aiwa-2	составить меню для похудения
aiwa-3	тренировка на сегодня
aiwa-4	ии ассистент для здоровья
aiwa-5	трекер питания и тренировок
aiwa-6	тренировки по фазам цикла
aiwa-7	трекер беременности
aiwa-8	приложение для менопаузы
aiwa-9	трекер цикла для врача
aiwa-10	отслеживание цикла для партнера
concierge-1	как забронировать столик по телефону
concierge-2	записаться в клинику онлайн
concierge-3	спланировать отпуск с помощью ии
concierge-4	ии помощник для поиска информации
concierge-5	ии напоминания
concierge-6	разрешить спор фактами
concierge-7	как вежливо отказать
concierge-8	мессенджер max ии помощник
concierge-9	ии звонит по телефону вместо меня
concierge-10	ии помощник в групповом чате
gochi-1	виртуальный питомец с ии
gochi-2	одежда для виртуального питомца
gochi-3	виртуальный питомец путешествия
gochi-4	тамагочи с искусственным интеллектом
gochi-5	ии питомец живет своей жизнью
gochi-6	скачать apk без google play
gochi-7	тамагочи приложение для айфон
gochi-8	антистресс игра на телефоне
gochi-9	уход за виртуальным питомцем
gochi-10	тамагочи для взрослых
korche-1	агрегатор новостей из телеграм каналов
korche-2	задать вопрос по новости ии
korche-3	проверка новости на фейк
korche-4	пересказать текст простыми словами
korche-5	альтернативная точка зрения на новость
korche-6	как попасть в закрытую бету
korche-7	персональная лента новостей
korche-8	хронология событий по новости
korche-9	как объяснить новость ребенку
korche-10	мониторинг новостей по теме
memento-1	расшифровка совещания с итогами
memento-2	поиск по записям встреч
memento-3	поиск по видеозаписи встречи
memento-4	запись встречи на mac
memento-5	извлечение action items из встречи
memento-6	автоматический конспект созвона
memento-7	локальная обработка данных без облака
memento-8	поиск по нескольким встречам
memento-9	программа для записи встреч на windows
memento-10	поделиться протоколом встречи
narra-1	аудиокнига разными голосами
narra-2	чат с персонажем книги
narra-3	оживить персонажа книги ии
narra-4	интерактивная аудиокнига
narra-5	как попасть в testflight
narra-6	приложение для чтения книг с озвучкой
narra-7	поговорить с литературным героем
narra-8	чат с второстепенным персонажем книги
narra-9	аудиокнига с озвучкой персонажей
narra-10	бесплатное приложение для аудиокниг
radar-1	как проверить бизнес идею
radar-2	найти растущие стартапы
radar-3	проверка бизнес идеи с источниками
radar-4	попробовать сервис без регистрации
radar-5	вход без пароля
radar-6	новости рынка искусственного интеллекта
radar-7	валидация бизнес идеи
radar-8	сохранить интересные стартапы
radar-9	аналог product hunt
radar-10	провалившаяся бизнес гипотеза
tool-1	сделать презентацию без дизайнера
tool-2	сравнительная таблица в excel с формулами
tool-3	исследование рынка с помощью ии
tool-4	автоматический отчет для руководителя
tool-5	анализ договора с помощью ии
tool-6	составить бюджет проекта в excel
tool-7	сайт сделанный с помощью ии
tool-8	презентация для инвесторов пример
tool-9	анализ конкурентов с помощью ии
tool-10	нейросеть без vpn и карты
type-1	надиктовать текст вместо печати
type-2	надиктовать конспект лекции
type-3	голосовой ввод в ide
type-4	надиктовать отчет вместо печати
type-5	голосовой ввод текста офлайн
type-6	надиктовать текст для поста
type-7	голосовой ввод текста на телефоне
type-8	скорость речи против печати
type-9	голосовой ввод на mac
type-10	расшифровка интервью в текст
